order_id,customer_id,product_id,order_date,quantity,price,revenue,city
O00124,C0481,P45,2024-03-26,1,466.0,466.0,Hyderabad
O00125,C0384,P25,2024-04-25,2,891.0,1782.0,Delhi
O00126,C0370,P33,2024-02-29,1,891.0,891.0,Pune
O00127,C0361,P51,2024-05-13,1,176.0,176.0,Hyderabad
O00128,C0117,P27,2024-07-05,1,551.0,551.0,Hyderabad
O00129,C0160,P18,2024-01-16,2,764.0,1528.0,Delhi
O00130,C0183,P60,2024-10-10,2,276.0,552.0,Hyderabad
O00131,C0068,P4,2024-04-07,2,403.0,806.0,Ahmedabad
O00132,C0122,P24,2024-11-06,1,755.0,755.0,Bengaluru
O00133,C0394,P11,2024-01-03,1,973.0,973.0,Delhi
O00134,C0138,P37,2024-06-27,1,1075.0,1075.0,Pune
O00135,C0453,P50,2024-12-24,1,176.0,176.0,Hyderabad
O00136,C0180,P58,2024-03-23,1,165.0,165.0,Mumbai
O00137,C0282,P36,2024-09-17,1,891.0,891.0,Ahmedabad
O00138,C0485,P7,2024-02-25,1,811.0,811.0,Hyderabad
O00139,C0495,P23,2024-01-28,1,891.0,891.0,Delhi
O00140,C0398,P49,2024-03-04,1,229.0,229.0,Ahmedabad
O00141,C0380,P47,2024-11-02,1,176.0,176.0,Pune
O00142,C0241,P37,2024-03-26,2,1075.0,2150.0,Pune
O00143,C0347,P4,2024-06-19,2,403.0,806.0,Mumbai
O00144,C0435,P56,2024-08-20,1,165.0,165.0,Pune
O00145,C0203,P25,2024-07-27,2,891.0,1782.0,Bengaluru
O00146,C0110,P62,2024-03-01,1,129.0,129.0,Chennai
O00147,C0493,P2,2024-07-22,1,806.0,806.0,Delhi
O00148,C0305,P52,2024-07-29,1,229.0,229.0,Mumbai
O00149,C0095,P42,2024-03-27,1,973.0,973.0,Bengaluru
O00150,C0064,P54,2024-11-12,1,235.0,235.0,Ahmedabad
O00151,C0406,P53,2024-03-04,1,212.0,212.0,Hyderabad
O00152,C0144,P31,2024-04-20,1,1019.0,1019.0,Ahmedabad
O00153,C0442,P12,2024-02-29,1,849.0,849.0,Mumbai
O00154,C0212,P11,2024-01-05,1,973.0,973.0,Bengaluru
O00155,C0103,P6,2024-05-06,1,866.0,866.0,Mumbai
O00156,C0479,P56,2024-05-12,2,165.0,330.0,Ahmedabad
O00157,C0166,P6,2024-03-30,1,866.0,866.0,Chennai
O00158,C0464,P62,2024-12-27,1,129.0,129.0,Chennai
O00159,C0102,P45,2024-07-13,2,466.0,932.0,Pune
O00160,C0041,P13,2024-01-04,1,747.0,747.0,Hyderabad
O00161,C0319,P60,2024-07-10,1,276.0,276.0,Bengaluru
O00162,C0192,P32,2024-04-03,1,871.0,871.0,Delhi
O00163,C0397,P35,2024-02-11,1,849.0,849.0,Ahmedabad
O00164,C0408,P42,2024-11-19,1,973.0,973.0,Delhi
O00165,C0212,P13,2024-06-14,1,747.0,747.0,Bengaluru
O00166,C0073,P17,2024-01-03,1,849.0,849.0,Pune
O00167,C0172,P29,2024-06-12,1,1019.0,1019.0,Delhi
O00168,C0379,P6,2024-09-06,1,866.0,866.0,Bengaluru
O00169,C0281,P38,2024-07-06,1,755.0,755.0,Hyderabad
O00170,C0368,P17,2024-01-30,1,849.0,849.0,Mumbai
O00171,C0378,P8,2024-11-08,1,925.0,925.0,Mumbai
O00172,C0353,P18,2024-09-20,1,764.0,764.0,Chennai
O00173,C0193,P51,2024-12-17,1,176.0,176.0,Bengaluru
O00174,C0186,P59,2024-05-17,2,129.0,258.0,Chennai
O00175,C0042,P3,2024-04-17,1,1019.0,1019.0,Bengaluru
O00176,C0238,P24,2024-04-18,2,755.0,1510.0,Hyderabad
O00177,C0135,P18,2024-06-15,2,764.0,1528.0,Pune
O00178,C0171,P21,2024-08-23,2,466.0,932.0,Ahmedabad
O00179,C0446,P55,2024-11-28,1,129.0,129.0,Delhi
O00180,C0123,P6,2024-07-24,1,866.0,866.0,Chennai
O00181,C0460,P37,2024-01-21,2,1075.0,2150.0,Delhi
O00182,C0291,P33,2024-01-24,1,891.0,891.0,Delhi
O00183,C0214,P15,2024-03-03,1,1572.0,1572.0,Bengaluru
O00184,C0383,P39,2024-07-15,1,973.0,973.0,Bengaluru
O00185,C0042,P5,2024-12-17,1,755.0,755.0,Bengaluru
O00186,C0473,P33,2024-11-02,1,891.0,891.0,Delhi
O00187,C0060,P62,2024-10-10,2,129.0,258.0,Hyderabad
O00188,C0102,P62,2024-01-26,1,129.0,129.0,Pune
O00189,C0426,P24,2024-04-05,1,755.0,755.0,Hyderabad
O00190,C0117,P10,2024-03-06,1,1019.0,1019.0,Hyderabad
O00191,C0118,P46,2024-05-22,1,849.0,849.0,Ahmedabad
O00192,C0200,P34,2024-10-04,1,973.0,973.0,Bengaluru
O00193,C0081,P44,2024-04-26,1,764.0,764.0,Delhi
O00194,C0204,P25,2024-02-19,1,891.0,891.0,Bengaluru
O00195,C0277,P27,2024-01-27,1,551.0,551.0,Chennai
O00196,C0398,P41,2024-08-07,1,820.0,820.0,Ahmedabad
O00197,C0327,P57,2024-06-26,1,165.0,165.0,Bengaluru
O00198,C0088,P62,2024-09-22,1,129.0,129.0,Bengaluru
O00199,C0240,P22,2024-02-23,1,871.0,871.0,Hyderabad
O00200,C0480,P45,2024-11-11,2,466.0,932.0,Hyderabad
O00201,C0285,P62,2024-03-12,2,129.0,258.0,Chennai
O00202,C0139,P55,2024-08-17,2,129.0,258.0,Bengaluru
O00203,C0302,P11,2024-09-09,1,973.0,973.0,Bengaluru
O00204,C0310,P32,2024-07-12,1,871.0,871.0,Bengaluru
O00205,C0378,P1,2024-01-11,1,905.0,905.0,Mumbai
O00206,C0403,P57,2024-07-31,1,165.0,165.0,Chennai
O00207,C0230,P4,2024-09-22,1,403.0,403.0,Chennai
O00208,C0350,P7,2024-10-04,1,811.0,811.0,Hyderabad
O00209,C0063,P18,2024-05-21,1,764.0,764.0,Hyderabad
O00210,C0081,P36,2024-04-06,2,891.0,1782.0,Delhi
O00211,C0297,P6,2024-10-31,1,866.0,866.0,Mumbai
O00212,C0176,P21,2024-12-31,1,466.0,466.0,Mumbai
O00213,C0183,P34,2024-09-21,2,973.0,1946.0,Hyderabad
O00214,C0030,P56,2024-05-29,1,165.0,165.0,Ahmedabad
O00215,C0341,P61,2024-11-14,1,223.0,223.0,Ahmedabad
O00216,C0342,P34,2024-03-20,1,973.0,973.0,Bengaluru
O00217,C0057,P54,2024-07-02,1,235.0,235.0,Pune
O00218,C0444,P31,2024-12-10,1,1019.0,1019.0,Mumbai
O00219,C0399,P11,2024-06-18,1,973.0,973.0,Bengaluru
O00220,C0389,P34,2024-07-07,2,973.0,1946.0,Mumbai
O00221,C0150,P44,2024-05-04,2,764.0,1528.0,Hyderabad
O00222,C0388,P53,2024-11-14,1,212.0,212.0,Mumbai
O00223,C0063,P19,2024-09-20,2,891.0,1782.0,Hyderabad
O00224,C0178,P47,2024-10-11,1,176.0,176.0,Delhi
O00225,C0291,P41,2024-12-09,1,820.0,820.0,Delhi
O00226,C0375,P4,2024-03-24,1,403.0,403.0,Ahmedabad
O00227,C0386,P60,2024-09-10,1,276.0,276.0,Bengaluru
O00228,C0494,P13,2024-01-24,1,747.0,747.0,Pune
O00229,C0031,P62,2024-08-22,1,129.0,129.0,Hyderabad
O00230,C0361,P36,2024-01-05,2,891.0,1782.0,Hyderabad
O00231,C0204,P29,2024-10-02,1,1019.0,1019.0,Bengaluru
O00232,C0064,P59,2024-06-12,1,129.0,129.0,Ahmedabad
O00233,C0111,P28,2024-06-01,1,471.0,471.0,Chennai
O00234,C0194,P19,2024-07-24,1,891.0,891.0,Mumbai
O00235,C0219,P18,2024-08-18,1,764.0,764.0,Ahmedabad
O00236,C0005,P39,2024-11-04,1,973.0,973.0,Chennai
O00237,C0211,P36,2024-05-26,1,891.0,891.0,Pune
O00238,C0198,P25,2024-09-13,1,891.0,891.0,Hyderabad
O00239,C0261,P32,2024-12-18,1,871.0,871.0,Bengaluru
O00240,C0074,P6,2024-08-10,1,866.0,866.0,Bengaluru
O00241,C0401,P59,2024-10-11,2,129.0,258.0,Bengaluru
O00242,C0087,P49,2024-01-29,1,229.0,229.0,Pune
O00243,C0309,P45,2024-06-02,1,466.0,466.0,Delhi
O00244,C0316,P30,2024-02-19,1,849.0,849.0,Hyderabad
O00245,C0366,P59,2024-05-17,1,129.0,129.0,Bengaluru
O00246,C0057,P50,2024-09-13,1,176.0,176.0,Pune
O00247,C0489,P40,2024-04-16,1,891.0,891.0,Chennai
O00248,C0473,P62,2024-11-11,1,129.0,129.0,Delhi
O00249,C0081,P39,2024-12-15,1,973.0,973.0,Delhi
O00250,C0437,P48,2024-02-11,2,235.0,470.0,Pune
O00251,C0001,P22,2024-10-31,1,871.0,871.0,Pune
O00252,C0217,P38,2024-08-24,1,755.0,755.0,Chennai
O00253,C0293,P44,2024-12-10,1,764.0,764.0,Pune
O00254,C0112,P14,2024-05-20,2,973.0,1946.0,Bengaluru
O00255,C0177,P49,2024-02-22,1,229.0,229.0,Delhi
O00256,C0196,P19,2024-08-19,1,891.0,891.0,Bengaluru
O00257,C0262,P6,2024-12-14,1,866.0,866.0,Ahmedabad
O00258,C0370,P2,2024-07-18,2,806.0,1612.0,Pune
O00259,C0395,P27,2024-10-05,1,551.0,551.0,Hyderabad
O00260,C0454,P21,2024-03-04,1,466.0,466.0,Delhi
O00261,C0040,P28,2024-09-14,1,471.0,471.0,Pune
O00262,C0266,P21,2024-02-25,2,466.0,932.0,Ahmedabad
O00263,C0104,P58,2024-06-26,1,165.0,165.0,Mumbai
O00264,C0450,P26,2024-07-22,1,373.0,373.0,Hyderabad
O00265,C0202,P42,2024-01-28,1,973.0,973.0,Delhi
O00266,C0041,P5,2024-02-27,1,755.0,755.0,Hyderabad
O00267,C0157,P33,2024-04-27,1,891.0,891.0,Delhi
O00268,C0080,P54,2024-06-17,1,235.0,235.0,Mumbai
O00269,C0098,P49,2024-01-26,2,229.0,458.0,Delhi
O00270,C0173,P11,2024-05-10,1,973.0,973.0,Hyderabad
O00271,C0267,P13,2024-05-09,1,747.0,747.0,Chennai
O00272,C0054,P18,2024-11-23,1,764.0,764.0,Pune
O00273,C0017,P58,2024-09-23,1,165.0,165.0,Pune
O00274,C0147,P22,2024-01-31,2,871.0,1742.0,Mumbai
O00275,C0318,P4,2024-06-13,1,403.0,403.0,Pune
O00276,C0229,P31,2024-10-10,1,1019.0,1019.0,Ahmedabad
O00277,C0496,P60,2024-06-07,1,276.0,276.0,Pune
O00278,C0331,P31,2024-11-13,1,1019.0,1019.0,Mumbai
O00279,C0416,P9,2024-04-13,1,973.0,973.0,Chennai
O00280,C0052,P47,2024-10-21,2,176.0,352.0,Bengaluru
O00281,C0054,P35,2024-07-02,2,849.0,1698.0,Pune
O00282,C0267,P37,2024-12-08,1,1075.0,1075.0,Chennai
O00283,C0044,P61,2024-11-27,1,223.0,223.0,Pune
O00284,C0129,P36,2024-09-29,1,891.0,891.0,Chennai
O00285,C0275,P10,2024-09-25,1,1019.0,1019.0,Delhi
O00286,C0366,P53,2024-04-20,1,212.0,212.0,Bengaluru
O00287,C0355,P5,2024-03-20,1,755.0,755.0,Bengaluru
O00288,C0298,P38,2024-01-08,1,755.0,755.0,Hyderabad
O00289,C0462,P35,2024-02-17,2,849.0,1698.0,Hyderabad
O00290,C0093,P23,2024-01-09,1,891.0,891.0,Delhi
O00291,C0067,P2,2024-06-17,1,806.0,806.0,Delhi
O00292,C0042,P5,2024-04-30,2,755.0,1510.0,Bengaluru
O00293,C0122,P8,2024-01-04,2,925.0,1850.0,Bengaluru
O00294,C0205,P11,2024-11-11,2,973.0,1946.0,Chennai
O00295,C0114,P47,2024-05-25,2,176.0,352.0,Ahmedabad
O00296,C0464,P27,2024-02-23,1,551.0,551.0,Chennai
O00297,C0427,P57,2024-05-28,1,165.0,165.0,Hyderabad
O00298,C0117,P36,2024-01-19,1,891.0,891.0,Hyderabad
O00299,C0003,P8,2024-11-09,2,925.0,1850.0,Mumbai
O00300,C0140,P34,2024-05-14,1,973.0,973.0,Delhi
O00301,C0108,P13,2024-07-19,1,747.0,747.0,Bengaluru
O00302,C0209,P16,2024-10-25,1,726.0,726.0,Delhi
O00303,C0080,P24,2024-05-06,1,755.0,755.0,Mumbai
O00304,C0370,P35,2024-12-18,1,849.0,849.0,Pune
O00305,C0147,P34,2024-04-19,2,973.0,1946.0,Mumbai
O00306,C0144,P54,2024-07-06,1,235.0,235.0,Ahmedabad
O00307,C0442,P55,2024-04-28,1,129.0,129.0,Mumbai
O00308,C0109,P55,2024-11-22,1,129.0,129.0,Mumbai
O00309,C0355,P11,2024-04-27,2,973.0,1946.0,Bengaluru
O00310,C0327,P32,2024-08-18,1,871.0,871.0,Bengaluru
O00311,C0407,P38,2024-11-21,1,755.0,755.0,Mumbai
O00312,C0176,P24,2024-03-28,1,755.0,755.0,Mumbai
O00313,C0065,P3,2024-02-22,1,1019.0,1019.0,Mumbai
O00314,C0303,P41,2024-09-10,1,820.0,820.0,Ahmedabad
O00315,C0228,P9,2024-12-09,2,973.0,1946.0,Bengaluru
O00316,C0252,P10,2024-02-08,1,1019.0,1019.0,Chennai
O00317,C0141,P36,2024-04-20,1,891.0,891.0,Pune
O00318,C0235,P44,2024-11-08,2,764.0,1528.0,Mumbai
O00319,C0488,P21,2024-01-05,1,466.0,466.0,Delhi
O00320,C0251,P26,2024-06-01,1,373.0,373.0,Chennai
O00321,C0363,P8,2024-10-11,2,925.0,1850.0,Mumbai
O00322,C0195,P48,2024-11-10,2,235.0,470.0,Hyderabad
O00323,C0318,P35,2024-07-28,1,849.0,849.0,Pune
O00324,C0222,P51,2024-01-20,1,176.0,176.0,Bengaluru
O00325,C0431,P34,2024-02-20,1,973.0,973.0,Chennai
O00326,C0211,P59,2024-09-28,1,129.0,129.0,Pune
O00327,C0227,P5,2024-09-12,1,755.0,755.0,Delhi
O00328,C0138,P59,2024-07-18,2,129.0,258.0,Pune
O00329,C0493,P35,2024-09-04,1,849.0,849.0,Delhi
O00330,C0400,P34,2024-03-14,1,973.0,973.0,Hyderabad
O00331,C0486,P51,2024-10-31,1,176.0,176.0,Chennai
O00332,C0318,P51,2024-08-06,1,176.0,176.0,Pune
O00333,C0357,P51,2024-07-10,2,176.0,352.0,Bengaluru
O00334,C0444,P34,2024-06-24,1,973.0,973.0,Mumbai
O00335,C0491,P60,2024-07-26,1,276.0,276.0,Pune
O00336,C0434,P15,2024-11-10,1,1572.0,1572.0,Pune
O00337,C0385,P39,2024-11-10,2,973.0,1946.0,Mumbai
O00338,C0295,P25,2024-11-16,2,891.0,1782.0,Hyderabad
O00339,C0377,P5,2024-12-04,1,755.0,755.0,Pune
O00340,C0369,P4,2024-02-17,1,403.0,403.0,Hyderabad
O00341,C0264,P60,2024-10-15,2,276.0,552.0,Chennai
O00342,C0259,P35,2024-11-09,1,849.0,849.0,Ahmedabad
O00343,C0164,P30,2024-05-02,1,849.0,849.0,Chennai
O00344,C0361,P61,2024-10-08,1,223.0,223.0,Hyderabad
O00345,C0059,P15,2024-11-29,2,1572.0,3144.0,Bengaluru
O00346,C0106,P57,2024-04-07,1,165.0,165.0,Pune
O00347,C0115,P24,2024-04-19,1,755.0,755.0,Bengaluru
O00348,C0022,P34,2024-02-21,2,973.0,1946.0,Delhi
O00349,C0206,P22,2024-03-23,1,871.0,871.0,Delhi
O00350,C0010,P5,2024-03-12,1,755.0,755.0,Chennai
O00351,C0391,P54,2024-11-08,1,235.0,235.0,Pune
O00352,C0163,P52,2024-02-10,1,229.0,229.0,Ahmedabad
O00353,C0418,P41,2024-02-14,1,820.0,820.0,Hyderabad
O00354,C0287,P3,2024-11-21,2,1019.0,2038.0,Chennai
O00355,C0009,P55,2024-04-18,2,129.0,258.0,Delhi
O00356,C0058,P48,2024-06-22,2,235.0,470.0,Chennai
O00357,C0062,P31,2024-04-02,2,1019.0,2038.0,Pune
O00358,C0183,P33,2024-10-08,2,891.0,1782.0,Hyderabad
O00359,C0086,P54,2024-01-04,1,235.0,235.0,Mumbai
O00360,C0323,P10,2024-10-07,1,1019.0,1019.0,Chennai
O00361,C0230,P54,2024-05-21,1,235.0,235.0,Chennai
O00362,C0305,P7,2024-10-22,2,811.0,1622.0,Mumbai
O00363,C0180,P36,2024-03-30,1,891.0,891.0,Mumbai
O00364,C0346,P22,2024-03-22,2,871.0,1742.0,Mumbai
O00365,C0418,P31,2024-08-13,1,1019.0,1019.0,Hyderabad
O00366,C0065,P43,2024-12-27,2,806.0,1612.0,Mumbai
O00367,C0283,P61,2024-07-27,1,223.0,223.0,Ahmedabad
O00368,C0434,P11,2024-08-23,1,973.0,973.0,Pune
O00369,C0343,P7,2024-09-25,1,811.0,811.0,Ahmedabad
O00370,C0483,P45,2024-09-16,2,466.0,932.0,Chennai
O00371,C0078,P30,2024-06-26,2,849.0,1698.0,Bengaluru
O00372,C0153,P51,2024-04-04,2,176.0,352.0,Mumbai
O00373,C0107,P23,2024-04-22,2,891.0,1782.0,Delhi
O00374,C0061,P31,2024-08-19,1,1019.0,1019.0,Pune
O00375,C0257,P41,2024-02-09,2,820.0,1640.0,Mumbai
O00376,C0354,P18,2024-05-31,1,764.0,764.0,Mumbai
O00377,C0257,P9,2024-06-21,1,973.0,973.0,Mumbai
O00378,C0072,P4,2024-10-15,1,403.0,403.0,Pune
O00379,C0469,P17,2024-04-04,2,849.0,1698.0,Chennai
O00380,C0297,P29,2024-04-15,1,1019.0,1019.0,Mumbai
O00381,C0168,P24,2024-12-20,1,755.0,755.0,Chennai
O00382,C0256,P7,2024-12-26,1,811.0,811.0,Bengaluru
O00383,C0371,P45,2024-12-06,1,466.0,466.0,Chennai
O00384,C0307,P50,2024-08-15,1,176.0,176.0,Pune
O00385,C0054,P32,2024-09-21,1,871.0,871.0,Pune
O00386,C0437,P6,2024-09-24,1,866.0,866.0,Pune
O00387,C0362,P58,2024-01-03,1,165.0,165.0,Delhi
O00388,C0066,P4,2024-07-23,1,403.0,403.0,Hyderabad
O00389,C0498,P55,2024-01-16,2,129.0,258.0,Bengaluru
O00390,C0299,P47,2024-11-18,1,176.0,176.0,Chennai
O00391,C0112,P33,2024-12-01,1,891.0,891.0,Bengaluru
O00392,C0285,P36,2024-10-23,1,891.0,891.0,Chennai
O00393,C0332,P47,2024-04-01,1,176.0,176.0,Chennai
O00394,C0348,P60,2024-09-02,1,276.0,276.0,Mumbai
O00395,C0442,P10,2024-11-16,1,1019.0,1019.0,Mumbai
O00396,C0210,P17,2024-06-02,1,849.0,849.0,Hyderabad
O00397,C0190,P5,2024-04-13,1,755.0,755.0,Mumbai
O00398,C0121,P35,2024-06-05,1,849.0,849.0,Chennai
O00399,C0042,P59,2024-09-24,2,129.0,258.0,Bengaluru
O00400,C0477,P8,2024-06-09,1,925.0,925.0,Chennai
O00401,C0345,P35,2024-04-18,1,849.0,849.0,Hyderabad
O00402,C0445,P11,2024-04-03,1,973.0,973.0,Ahmedabad
O00403,C0090,P54,2024-11-14,2,235.0,470.0,Delhi
O00404,C0150,P27,2024-02-16,2,551.0,1102.0,Hyderabad
O00405,C0195,P17,2024-09-19,1,849.0,849.0,Hyderabad
O00406,C0460,P26,2024-06-27,2,373.0,746.0,Delhi
O00407,C0134,P57,2024-11-26,1,165.0,165.0,Mumbai
