order_id,customer_id,product_id,order_date,quantity,price,revenue,city,year,month,day
O00039,C0097,P45,2024-03-11,1,466.0,466.0,Ahmedabad,2024,3,11
O00040,C0228,P6,2024-09-24,1,866.0,866.0,Bengaluru,2024,9,24
O00041,C0483,P45,2024-02-02,1,466.0,466.0,Chennai,2024,2,2
O00042,C0080,P45,2024-09-03,1,466.0,466.0,Mumbai,2024,9,3
O00043,C0145,P37,2024-12-28,1,1075.0,1075.0,Delhi,2024,12,28
O00044,C0321,P62,2024-12-11,2,129.0,258.0,Pune,2024,12,11
O00045,C0312,P54,2024-03-30,2,235.0,470.0,Hyderabad,2024,3,30
O00046,C0145,P24,2024-07-02,1,755.0,755.0,Delhi,2024,7,2
O00047,C0117,P39,2024-10-12,1,973.0,973.0,Hyderabad,2024,10,12
O00048,C0495,P20,2024-10-23,1,820.0,820.0,Delhi,2024,10,23
O00049,C0130,P40,2024-05-29,1,891.0,891.0,Bengaluru,2024,5,29
O00050,C0234,P44,2024-09-24,2,764.0,1528.0,Bengaluru,2024,9,24
O00051,C0064,P5,2024-10-21,1,755.0,755.0,Ahmedabad,2024,10,21
O00052,C0082,P28,2024-04-25,1,471.0,471.0,Bengaluru,2024,4,25
O00053,C0057,P30,2024-12-08,1,849.0,849.0,Pune,2024,12,8
O00054,C0024,P32,2024-11-24,1,871.0,871.0,Mumbai,2024,11,24
O00055,C0332,P19,2024-08-16,1,891.0,891.0,Chennai,2024,8,16
O00056,C0053,P53,2024-12-06,2,212.0,424.0,Chennai,2024,12,6
O00057,C0439,P59,2024-04-03,1,129.0,129.0,Mumbai,2024,4,3
O00058,C0263,P53,2024-02-12,1,212.0,212.0,Chennai,2024,2,12
O00059,C0012,P59,2024-03-30,1,129.0,129.0,Delhi,2024,3,30
O00060,C0006,P34,2024-06-16,1,973.0,973.0,Chennai,2024,6,16
O00061,C0106,P59,2024-02-03,1,129.0,129.0,Pune,2024,2,3
O00062,C0362,P59,2024-04-30,1,129.0,129.0,Delhi,2024,4,30
O00063,C0060,P47,2024-12-10,1,176.0,176.0,Hyderabad,2024,12,10
O00064,C0041,P45,2024-12-15,1,466.0,466.0,Hyderabad,2024,12,15
O00065,C0315,P29,2024-10-15,2,1019.0,2038.0,Pune,2024,10,15
O00066,C0344,P38,2024-12-31,1,755.0,755.0,Delhi,2024,12,31
O00067,C0269,P40,2024-09-11,1,891.0,891.0,Pune,2024,9,11
O00068,C0209,P30,2024-12-20,1,849.0,849.0,Delhi,2024,12,20
O00069,C0406,P32,2024-04-24,1,871.0,871.0,Hyderabad,2024,4,24
O00070,C0249,P57,2024-06-24,2,165.0,330.0,Ahmedabad,2024,6,24
O00071,C0427,P31,2024-02-19,1,1019.0,1019.0,Hyderabad,2024,2,19
O00072,C0327,P15,2024-03-28,1,1572.0,1572.0,Bengaluru,2024,3,28
O00073,C0429,P45,2024-06-12,1,466.0,466.0,Pune,2024,6,12
O00074,C0150,P53,2024-05-12,2,212.0,424.0,Hyderabad,2024,5,12
O00075,C0395,P18,2024-09-15,1,764.0,764.0,Hyderabad,2024,9,15
O00076,C0268,P27,2024-02-13,1,551.0,551.0,Bengaluru,2024,2,13
O00077,C0058,P44,2024-01-08,1,764.0,764.0,Chennai,2024,1,8
O00078,C0070,P60,2024-10-31,1,276.0,276.0,Pune,2024,10,31
O00079,C0123,P40,2024-04-27,2,891.0,1782.0,Chennai,2024,4,27
O00080,C0304,P44,2024-05-13,1,764.0,764.0,Bengaluru,2024,5,13
O00081,C0495,P24,2024-12-19,1,755.0,755.0,Delhi,2024,12,19
O00082,C0465,P15,2024-08-25,1,1572.0,1572.0,Delhi,2024,8,25
O00083,C0243,P50,2024-06-14,2,176.0,352.0,Bengaluru,2024,6,14
O00084,C0280,P18,2024-03-24,1,764.0,764.0,Hyderabad,2024,3,24
O00085,C0289,P50,2024-08-20,2,176.0,352.0,Bengaluru,2024,8,20
O00086,C0151,P31,2024-05-11,2,1019.0,2038.0,Chennai,2024,5,11
O00087,C0449,P33,2024-06-14,1,891.0,891.0,Ahmedabad,2024,6,14
O00088,C0461,P54,2024-06-05,1,235.0,235.0,Pune,2024,6,5
O00089,C0090,P23,2024-03-16,1,891.0,891.0,Delhi,2024,3,16
O00090,C0176,P30,2024-02-25,2,849.0,1698.0,Mumbai,2024,2,25
O00091,C0078,P60,2024-08-26,1,276.0,276.0,Bengaluru,2024,8,26
O00092,C0242,P60,2024-07-02,1,276.0,276.0,Ahmedabad,2024,7,2
O00093,C0150,P3,2024-08-29,1,1019.0,1019.0,Hyderabad,2024,8,29
O00094,C0155,P27,2024-09-22,2,551.0,1102.0,Mumbai,2024,9,22
O00095,C0071,P60,2024-04-03,1,276.0,276.0,Mumbai,2024,4,3
O00096,C0159,P48,2024-07-11,1,235.0,235.0,Chennai,2024,7,11
O00097,C0314,P18,2024-02-24,1,764.0,764.0,Ahmedabad,2024,2,24
O00098,C0409,P55,2024-01-31,1,129.0,129.0,Hyderabad,2024,1,31
O00099,C0485,P4,2024-01-16,1,403.0,403.0,Hyderabad,2024,1,16
O00100,C0021,P31,2024-09-12,1,1019.0,1019.0,Mumbai,2024,9,12
O00101,C0465,P40,2024-04-17,1,891.0,891.0,Delhi,2024,4,17
O00102,C0296,P19,2024-07-11,2,891.0,1782.0,Chennai,2024,7,11
O00103,C0009,P47,2024-09-25,1,176.0,176.0,Delhi,2024,9,25
O00104,C0115,P2,2024-03-11,1,806.0,806.0,Bengaluru,2024,3,11
O00105,C0164,P30,2024-06-21,2,849.0,1698.0,Chennai,2024,6,21
O00106,C0376,P59,2024-08-05,1,129.0,129.0,Hyderabad,2024,8,5
O00107,C0232,P10,2024-05-21,1,1019.0,1019.0,Delhi,2024,5,21
O00108,C0164,P7,2024-04-02,1,811.0,811.0,Chennai,2024,4,2
O00109,C0282,P38,2024-12-30,1,755.0,755.0,Ahmedabad,2024,12,30
O00110,C0404,P51,2024-02-07,1,176.0,176.0,Mumbai,2024,2,7
O00111,C0253,P1,2024-08-30,1,905.0,905.0,Ahmedabad,2024,8,30
O00112,C0196,P5,2024-04-12,2,755.0,1510.0,Bengaluru,2024,4,12
O00113,C0086,P20,2024-07-15,1,820.0,820.0,Mumbai,2024,7,15
O00114,C0231,P62,2024-12-10,1,129.0,129.0,Delhi,2024,12,10
O00115,C0415,P43,2024-09-29,1,806.0,806.0,Delhi,2024,9,29
O00116,C0168,P20,2024-09-14,1,820.0,820.0,Chennai,2024,9,14
O00117,C0074,P60,2024-09-10,1,276.0,276.0,Bengaluru,2024,9,10
O00118,C0340,P52,2024-08-08,1,229.0,229.0,Pune,2024,8,8
O00119,C0321,P32,2024-06-25,1,871.0,871.0,Pune,2024,6,25
O00120,C0009,P15,2024-03-04,2,1572.0,3144.0,Delhi,2024,3,4
O00121,C0269,P4,2024-05-25,1,403.0,403.0,Pune,2024,5,25
O00122,C0018,P51,2024-04-08,1,176.0,176.0,Hyderabad,2024,4,8
O00123,C0169,P62,2024-12-21,1,129.0,129.0,Delhi,2024,12,21
O00124,C0481,P45,2024-03-26,1,466.0,466.0,Hyderabad,2024,3,26
O00125,C0384,P25,2024-04-25,2,891.0,1782.0,Delhi,2024,4,25
O00126,C0370,P33,2024-02-29,1,891.0,891.0,Pune,2024,2,29
O00127,C0361,P51,2024-05-13,1,176.0,176.0,Hyderabad,2024,5,13
O00128,C0117,P27,2024-07-05,1,551.0,551.0,Hyderabad,2024,7,5
O00129,C0160,P18,2024-01-16,2,764.0,1528.0,Delhi,2024,1,16
O00130,C0183,P60,2024-10-10,2,276.0,552.0,Hyderabad,2024,10,10
O00131,C0068,P4,2024-04-07,2,403.0,806.0,Ahmedabad,2024,4,7
O00132,C0122,P24,2024-11-06,1,755.0,755.0,Bengaluru,2024,11,6
O00133,C0394,P11,2024-01-03,1,973.0,973.0,Delhi,2024,1,3
O00134,C0138,P37,2024-06-27,1,1075.0,1075.0,Pune,2024,6,27
O00135,C0453,P50,2024-12-24,1,176.0,176.0,Hyderabad,2024,12,24
O00136,C0180,P58,2024-03-23,1,165.0,165.0,Mumbai,2024,3,23
O00137,C0282,P36,2024-09-17,1,891.0,891.0,Ahmedabad,2024,9,17
O00138,C0485,P7,2024-02-25,1,811.0,811.0,Hyderabad,2024,2,25
O00139,C0495,P23,2024-01-28,1,891.0,891.0,Delhi,2024,1,28
O00140,C0398,P49,2024-03-04,1,229.0,229.0,Ahmedabad,2024,3,4
O00141,C0380,P47,2024-11-02,1,176.0,176.0,Pune,2024,11,2
O00142,C0241,P37,2024-03-26,2,1075.0,2150.0,Pune,2024,3,26
O00143,C0347,P4,2024-06-19,2,403.0,806.0,Mumbai,2024,6,19
O00144,C0435,P56,2024-08-20,1,165.0,165.0,Pune,2024,8,20
O00145,C0203,P25,2024-07-27,2,891.0,1782.0,Bengaluru,2024,7,27
O00146,C0110,P62,2024-03-01,1,129.0,129.0,Chennai,2024,3,1
O00147,C0493,P2,2024-07-22,1,806.0,806.0,Delhi,2024,7,22
O00148,C0305,P52,2024-07-29,1,229.0,229.0,Mumbai,2024,7,29
O00149,C0095,P42,2024-03-27,1,973.0,973.0,Bengaluru,2024,3,27
O00150,C0064,P54,2024-11-12,1,235.0,235.0,Ahmedabad,2024,11,12
O00151,C0406,P53,2024-03-04,1,212.0,212.0,Hyderabad,2024,3,4
O00152,C0144,P31,2024-04-20,1,1019.0,1019.0,Ahmedabad,2024,4,20
O00153,C0442,P12,2024-02-29,1,849.0,849.0,Mumbai,2024,2,29
O00154,C0212,P11,2024-01-05,1,973.0,973.0,Bengaluru,2024,1,5
O00155,C0103,P6,2024-05-06,1,866.0,866.0,Mumbai,2024,5,6
O00156,C0479,P56,2024-05-12,2,165.0,330.0,Ahmedabad,2024,5,12
O00157,C0166,P6,2024-03-30,1,866.0,866.0,Chennai,2024,3,30
O00158,C0464,P62,2024-12-27,1,129.0,129.0,Chennai,2024,12,27
O00159,C0102,P45,2024-07-13,2,466.0,932.0,Pune,2024,7,13
O00160,C0041,P13,2024-01-04,1,747.0,747.0,Hyderabad,2024,1,4
O00161,C0319,P60,2024-07-10,1,276.0,276.0,Bengaluru,2024,7,10
O00162,C0192,P32,2024-04-03,1,871.0,871.0,Delhi,2024,4,3
O00163,C0397,P35,2024-02-11,1,849.0,849.0,Ahmedabad,2024,2,11
O00164,C0408,P42,2024-11-19,1,973.0,973.0,Delhi,2024,11,19
O00165,C0212,P13,2024-06-14,1,747.0,747.0,Bengaluru,2024,6,14
O00166,C0073,P17,2024-01-03,1,849.0,849.0,Pune,2024,1,3
O00167,C0172,P29,2024-06-12,1,1019.0,1019.0,Delhi,2024,6,12
O00168,C0379,P6,2024-09-06,1,866.0,866.0,Bengaluru,2024,9,6
O00169,C0281,P38,2024-07-06,1,755.0,755.0,Hyderabad,2024,7,6
O00170,C0368,P17,2024-01-30,1,849.0,849.0,Mumbai,2024,1,30
O00171,C0378,P8,2024-11-08,1,925.0,925.0,Mumbai,2024,11,8
O00172,C0353,P18,2024-09-20,1,764.0,764.0,Chennai,2024,9,20
O00173,C0193,P51,2024-12-17,1,176.0,176.0,Bengaluru,2024,12,17
O00174,C0186,P59,2024-05-17,2,129.0,258.0,Chennai,2024,5,17
O00175,C0042,P3,2024-04-17,1,1019.0,1019.0,Bengaluru,2024,4,17
O00176,C0238,P24,2024-04-18,2,755.0,1510.0,Hyderabad,2024,4,18
O00177,C0135,P18,2024-06-15,2,764.0,1528.0,Pune,2024,6,15
O00178,C0171,P21,2024-08-23,2,466.0,932.0,Ahmedabad,2024,8,23
O00179,C0446,P55,2024-11-28,1,129.0,129.0,Delhi,2024,11,28
O00180,C0123,P6,2024-07-24,1,866.0,866.0,Chennai,2024,7,24
O00181,C0460,P37,2024-01-21,2,1075.0,2150.0,Delhi,2024,1,21
O00182,C0291,P33,2024-01-24,1,891.0,891.0,Delhi,2024,1,24
O00183,C0214,P15,2024-03-03,1,1572.0,1572.0,Bengaluru,2024,3,3
O00184,C0383,P39,2024-07-15,1,973.0,973.0,Bengaluru,2024,7,15
O00185,C0042,P5,2024-12-17,1,755.0,755.0,Bengaluru,2024,12,17
O00186,C0473,P33,2024-11-02,1,891.0,891.0,Delhi,2024,11,2
O00187,C0060,P62,2024-10-10,2,129.0,258.0,Hyderabad,2024,10,10
O00188,C0102,P62,2024-01-26,1,129.0,129.0,Pune,2024,1,26
O00189,C0426,P24,2024-04-05,1,755.0,755.0,Hyderabad,2024,4,5
O00190,C0117,P10,2024-03-06,1,1019.0,1019.0,Hyderabad,2024,3,6
O00191,C0118,P46,2024-05-22,1,849.0,849.0,Ahmedabad,2024,5,22
O00192,C0200,P34,2024-10-04,1,973.0,973.0,Bengaluru,2024,10,4
O00193,C0081,P44,2024-04-26,1,764.0,764.0,Delhi,2024,4,26
O00194,C0204,P25,2024-02-19,1,891.0,891.0,Bengaluru,2024,2,19
O00195,C0277,P27,2024-01-27,1,551.0,551.0,Chennai,2024,1,27
O00196,C0398,P41,2024-08-07,1,820.0,820.0,Ahmedabad,2024,8,7
O00197,C0327,P57,2024-06-26,1,165.0,165.0,Bengaluru,2024,6,26
O00198,C0088,P62,2024-09-22,1,129.0,129.0,Bengaluru,2024,9,22
O00199,C0240,P22,2024-02-23,1,871.0,871.0,Hyderabad,2024,2,23
O00200,C0480,P45,2024-11-11,2,466.0,932.0,Hyderabad,2024,11,11
O00201,C0285,P62,2024-03-12,2,129.0,258.0,Chennai,2024,3,12
O00202,C0139,P55,2024-08-17,2,129.0,258.0,Bengaluru,2024,8,17
O00203,C0302,P11,2024-09-09,1,973.0,973.0,Bengaluru,2024,9,9
O00204,C0310,P32,2024-07-12,1,871.0,871.0,Bengaluru,2024,7,12
O00205,C0378,P1,2024-01-11,1,905.0,905.0,Mumbai,2024,1,11
O00206,C0403,P57,2024-07-31,1,165.0,165.0,Chennai,2024,7,31
O00207,C0230,P4,2024-09-22,1,403.0,403.0,Chennai,2024,9,22
O00208,C0350,P7,2024-10-04,1,811.0,811.0,Hyderabad,2024,10,4
O00209,C0063,P18,2024-05-21,1,764.0,764.0,Hyderabad,2024,5,21
O00210,C0081,P36,2024-04-06,2,891.0,1782.0,Delhi,2024,4,6
O00211,C0297,P6,2024-10-31,1,866.0,866.0,Mumbai,2024,10,31
O00212,C0176,P21,2024-12-31,1,466.0,466.0,Mumbai,2024,12,31
O00213,C0183,P34,2024-09-21,2,973.0,1946.0,Hyderabad,2024,9,21
O00214,C0030,P56,2024-05-29,1,165.0,165.0,Ahmedabad,2024,5,29
O00215,C0341,P61,2024-11-14,1,223.0,223.0,Ahmedabad,2024,11,14
O00216,C0342,P34,2024-03-20,1,973.0,973.0,Bengaluru,2024,3,20
O00217,C0057,P54,2024-07-02,1,235.0,235.0,Pune,2024,7,2
O00218,C0444,P31,2024-12-10,1,1019.0,1019.0,Mumbai,2024,12,10
O00219,C0399,P11,2024-06-18,1,973.0,973.0,Bengaluru,2024,6,18
O00220,C0389,P34,2024-07-07,2,973.0,1946.0,Mumbai,2024,7,7
O00221,C0150,P44,2024-05-04,2,764.0,1528.0,Hyderabad,2024,5,4
O00222,C0388,P53,2024-11-14,1,212.0,212.0,Mumbai,2024,11,14
O00223,C0063,P19,2024-09-20,2,891.0,1782.0,Hyderabad,2024,9,20
O00224,C0178,P47,2024-10-11,1,176.0,176.0,Delhi,2024,10,11
O00225,C0291,P41,2024-12-09,1,820.0,820.0,Delhi,2024,12,9
O00226,C0375,P4,2024-03-24,1,403.0,403.0,Ahmedabad,2024,3,24
O00227,C0386,P60,2024-09-10,1,276.0,276.0,Bengaluru,2024,9,10
O00228,C0494,P13,2024-01-24,1,747.0,747.0,Pune,2024,1,24
O00229,C0031,P62,2024-08-22,1,129.0,129.0,Hyderabad,2024,8,22
O00230,C0361,P36,2024-01-05,2,891.0,1782.0,Hyderabad,2024,1,5
O00231,C0204,P29,2024-10-02,1,1019.0,1019.0,Bengaluru,2024,10,2
O00232,C0064,P59,2024-06-12,1,129.0,129.0,Ahmedabad,2024,6,12
O00233,C0111,P28,2024-06-01,1,471.0,471.0,Chennai,2024,6,1
O00234,C0194,P19,2024-07-24,1,891.0,891.0,Mumbai,2024,7,24
O00235,C0219,P18,2024-08-18,1,764.0,764.0,Ahmedabad,2024,8,18
O00236,C0005,P39,2024-11-04,1,973.0,973.0,Chennai,2024,11,4
O00237,C0211,P36,2024-05-26,1,891.0,891.0,Pune,2024,5,26
O00238,C0198,P25,2024-09-13,1,891.0,891.0,Hyderabad,2024,9,13
O00239,C0261,P32,2024-12-18,1,871.0,871.0,Bengaluru,2024,12,18
O00240,C0074,P6,2024-08-10,1,866.0,866.0,Bengaluru,2024,8,10
O00241,C0401,P59,2024-10-11,2,129.0,258.0,Bengaluru,2024,10,11
O00242,C0087,P49,2024-01-29,1,229.0,229.0,Pune,2024,1,29
O00243,C0309,P45,2024-06-02,1,466.0,466.0,Delhi,2024,6,2
O00244,C0316,P30,2024-02-19,1,849.0,849.0,Hyderabad,2024,2,19
O00245,C0366,P59,2024-05-17,1,129.0,129.0,Bengaluru,2024,5,17
O00246,C0057,P50,2024-09-13,1,176.0,176.0,Pune,2024,9,13
O00247,C0489,P40,2024-04-16,1,891.0,891.0,Chennai,2024,4,16
O00248,C0473,P62,2024-11-11,1,129.0,129.0,Delhi,2024,11,11
O00249,C0081,P39,2024-12-15,1,973.0,973.0,Delhi,2024,12,15
O00250,C0437,P48,2024-02-11,2,235.0,470.0,Pune,2024,2,11
O00251,C0001,P22,2024-10-31,1,871.0,871.0,Pune,2024,10,31
O00252,C0217,P38,2024-08-24,1,755.0,755.0,Chennai,2024,8,24
O00253,C0293,P44,2024-12-10,1,764.0,764.0,Pune,2024,12,10
O00254,C0112,P14,2024-05-20,2,973.0,1946.0,Bengaluru,2024,5,20
O00255,C0177,P49,2024-02-22,1,229.0,229.0,Delhi,2024,2,22
O00256,C0196,P19,2024-08-19,1,891.0,891.0,Bengaluru,2024,8,19
O00257,C0262,P6,2024-12-14,1,866.0,866.0,Ahmedabad,2024,12,14
O00258,C0370,P2,2024-07-18,2,806.0,1612.0,Pune,2024,7,18
O00259,C0395,P27,2024-10-05,1,551.0,551.0,Hyderabad,2024,10,5
O00260,C0454,P21,2024-03-04,1,466.0,466.0,Delhi,2024,3,4
O00261,C0040,P28,2024-09-14,1,471.0,471.0,Pune,2024,9,14
O00262,C0266,P21,2024-02-25,2,466.0,932.0,Ahmedabad,2024,2,25
O00263,C0104,P58,2024-06-26,1,165.0,165.0,Mumbai,2024,6,26
O00264,C0450,P26,2024-07-22,1,373.0,373.0,Hyderabad,2024,7,22
O00265,C0202,P42,2024-01-28,1,973.0,973.0,Delhi,2024,1,28
O00266,C0041,P5,2024-02-27,1,755.0,755.0,Hyderabad,2024,2,27
O00267,C0157,P33,2024-04-27,1,891.0,891.0,Delhi,2024,4,27
O00268,C0080,P54,2024-06-17,1,235.0,235.0,Mumbai,2024,6,17
O00269,C0098,P49,2024-01-26,2,229.0,458.0,Delhi,2024,1,26
O00270,C0173,P11,2024-05-10,1,973.0,973.0,Hyderabad,2024,5,10
O00271,C0267,P13,2024-05-09,1,747.0,747.0,Chennai,2024,5,9
O00272,C0054,P18,2024-11-23,1,764.0,764.0,Pune,2024,11,23
O00273,C0017,P58,2024-09-23,1,165.0,165.0,Pune,2024,9,23
O00274,C0147,P22,2024-01-31,2,871.0,1742.0,Mumbai,2024,1,31
O00275,C0318,P4,2024-06-13,1,403.0,403.0,Pune,2024,6,13
O00276,C0229,P31,2024-10-10,1,1019.0,1019.0,Ahmedabad,2024,10,10
O00277,C0496,P60,2024-06-07,1,276.0,276.0,Pune,2024,6,7
O00278,C0331,P31,2024-11-13,1,1019.0,1019.0,Mumbai,2024,11,13
O00279,C0416,P9,2024-04-13,1,973.0,973.0,Chennai,2024,4,13
O00280,C0052,P47,2024-10-21,2,176.0,352.0,Bengaluru,2024,10,21
O00281,C0054,P35,2024-07-02,2,849.0,1698.0,Pune,2024,7,2
O00282,C0267,P37,2024-12-08,1,1075.0,1075.0,Chennai,2024,12,8
O00283,C0044,P61,2024-11-27,1,223.0,223.0,Pune,2024,11,27
O00284,C0129,P36,2024-09-29,1,891.0,891.0,Chennai,2024,9,29
O00285,C0275,P10,2024-09-25,1,1019.0,1019.0,Delhi,2024,9,25
O00286,C0366,P53,2024-04-20,1,212.0,212.0,Bengaluru,2024,4,20
O00287,C0355,P5,2024-03-20,1,755.0,755.0,Bengaluru,2024,3,20
O00288,C0298,P38,2024-01-08,1,755.0,755.0,Hyderabad,2024,1,8
O00289,C0462,P35,2024-02-17,2,849.0,1698.0,Hyderabad,2024,2,17
O00290,C0093,P23,2024-01-09,1,891.0,891.0,Delhi,2024,1,9
O00291,C0067,P2,2024-06-17,1,806.0,806.0,Delhi,2024,6,17
O00292,C0042,P5,2024-04-30,2,755.0,1510.0,Bengaluru,2024,4,30
O00293,C0122,P8,2024-01-04,2,925.0,1850.0,Bengaluru,2024,1,4
O00294,C0205,P11,2024-11-11,2,973.0,1946.0,Chennai,2024,11,11
O00295,C0114,P47,2024-05-25,2,176.0,352.0,Ahmedabad,2024,5,25
O00296,C0464,P27,2024-02-23,1,551.0,551.0,Chennai,2024,2,23
O00297,C0427,P57,2024-05-28,1,165.0,165.0,Hyderabad,2024,5,28
O00298,C0117,P36,2024-01-19,1,891.0,891.0,Hyderabad,2024,1,19
O00299,C0003,P8,2024-11-09,2,925.0,1850.0,Mumbai,2024,11,9
O00300,C0140,P34,2024-05-14,1,973.0,973.0,Delhi,2024,5,14
O00301,C0108,P13,2024-07-19,1,747.0,747.0,Bengaluru,2024,7,19
O00302,C0209,P16,2024-10-25,1,726.0,726.0,Delhi,2024,10,25
O00303,C0080,P24,2024-05-06,1,755.0,755.0,Mumbai,2024,5,6
O00304,C0370,P35,2024-12-18,1,849.0,849.0,Pune,2024,12,18
O00305,C0147,P34,2024-04-19,2,973.0,1946.0,Mumbai,2024,4,19
O00306,C0144,P54,2024-07-06,1,235.0,235.0,Ahmedabad,2024,7,6
O00307,C0442,P55,2024-04-28,1,129.0,129.0,Mumbai,2024,4,28
O00308,C0109,P55,2024-11-22,1,129.0,129.0,Mumbai,2024,11,22
O00309,C0355,P11,2024-04-27,2,973.0,1946.0,Bengaluru,2024,4,27
O00310,C0327,P32,2024-08-18,1,871.0,871.0,Bengaluru,2024,8,18
O00311,C0407,P38,2024-11-21,1,755.0,755.0,Mumbai,2024,11,21
O00312,C0176,P24,2024-03-28,1,755.0,755.0,Mumbai,2024,3,28
O00313,C0065,P3,2024-02-22,1,1019.0,1019.0,Mumbai,2024,2,22
O00314,C0303,P41,2024-09-10,1,820.0,820.0,Ahmedabad,2024,9,10
O00315,C0228,P9,2024-12-09,2,973.0,1946.0,Bengaluru,2024,12,9
O00316,C0252,P10,2024-02-08,1,1019.0,1019.0,Chennai,2024,2,8
O00317,C0141,P36,2024-04-20,1,891.0,891.0,Pune,2024,4,20
O00318,C0235,P44,2024-11-08,2,764.0,1528.0,Mumbai,2024,11,8
O00319,C0488,P21,2024-01-05,1,466.0,466.0,Delhi,2024,1,5
O00320,C0251,P26,2024-06-01,1,373.0,373.0,Chennai,2024,6,1
O00321,C0363,P8,2024-10-11,2,925.0,1850.0,Mumbai,2024,10,11
O00322,C0195,P48,2024-11-10,2,235.0,470.0,Hyderabad,2024,11,10
O00323,C0318,P35,2024-07-28,1,849.0,849.0,Pune,2024,7,28
O00324,C0222,P51,2024-01-20,1,176.0,176.0,Bengaluru,2024,1,20
O00325,C0431,P34,2024-02-20,1,973.0,973.0,Chennai,2024,2,20
O00326,C0211,P59,2024-09-28,1,129.0,129.0,Pune,2024,9,28
O00327,C0227,P5,2024-09-12,1,755.0,755.0,Delhi,2024,9,12
O00328,C0138,P59,2024-07-18,2,129.0,258.0,Pune,2024,7,18
O00329,C0493,P35,2024-09-04,1,849.0,849.0,Delhi,2024,9,4
O00330,C0400,P34,2024-03-14,1,973.0,973.0,Hyderabad,2024,3,14
O00331,C0486,P51,2024-10-31,1,176.0,176.0,Chennai,2024,10,31
O00332,C0318,P51,2024-08-06,1,176.0,176.0,Pune,2024,8,6
O00333,C0357,P51,2024-07-10,2,176.0,352.0,Bengaluru,2024,7,10
O00334,C0444,P34,2024-06-24,1,973.0,973.0,Mumbai,2024,6,24
O00335,C0491,P60,2024-07-26,1,276.0,276.0,Pune,2024,7,26
O00336,C0434,P15,2024-11-10,1,1572.0,1572.0,Pune,2024,11,10
O00337,C0385,P39,2024-11-10,2,973.0,1946.0,Mumbai,2024,11,10
